Lunar Terrain Model
Lat: 31.5927 deg;Lng: 29.1079 deg;Elev: -2547 m;Azimuth: -87.00 deg
Distance in meters;Elevation in meters
-27492.960000;355.508999
-27523.440000;357.127917
-27553.920000;357.865066
-27584.400000;358.328724
-27614.880000;357.649385
-27645.360000;355.408815
-27675.840000;353.278848
-27706.320000;352.444565
-27736.800000;351.623819
-27767.280000;351.485042
-27797.760000;351.551193
-27828.240000;351.907405
-27858.720000;352.622967
-27889.200000;353.340837
-27919.680000;353.906527
-27950.160000;354.485718
-27980.640000;354.734751
-28011.120000;354.911005
-28041.600000;354.992094
-28072.080000;354.955927
-28102.560000;354.828990
-28133.040000;354.183776
-28163.520000;353.552029
-28194.000000;352.717799
-28224.480000;351.837898
-28254.960000;350.684428
-28285.440000;349.232287
-28315.920000;347.802638
-28346.400000;346.594802
-28376.880000;345.373764
-28407.360000;345.386865
-28437.840000;345.643011
-28468.320000;346.857697
-28498.800000;348.957353
-28529.280000;350.398841
-28559.760000;349.059324
-28590.240000;347.719928
-28620.720000;345.200604
-28651.200000;342.510301
-28681.680000;338.739003
-28712.160000;334.026352
-28742.640000;328.627782
-28773.120000;320.761904
-28803.600000;312.922697
-28834.080000;308.950182
-28864.560000;305.478347
-28895.040000;304.683668
-28925.520000;305.971485
-28956.000000;306.448393
-28986.480000;304.332170
-29016.960000;302.232387
-29047.440000;298.990027
-29077.920000;295.658926
-29108.400000;292.122328
-29138.880000;288.457314
-29169.360000;284.709477
-29199.840000;280.640152
-29230.320000;276.597363
-29260.800000;272.241448
-29291.280000;267.900004
-29321.760000;263.502908
-29352.240000;259.062282
-29382.720000;254.514508
-29413.200000;249.670473
-29443.680000;244.839695
-29474.160000;239.718532
-29504.640000;234.608926
-29535.120000;229.177164
-29565.600000;223.554824
-29596.080000;218.335696
-29626.560000;214.029628
-29657.040000;209.736778
-29687.520000;210.872147
-29718.000000;212.112212
-29748.480000;213.380114
-29778.960000;214.683406
-29809.440000;215.720719
-29839.920000;216.190535
-29870.400000;216.673550
-29900.880000;216.966043
-29931.360000;217.258335
-29961.840000;217.407441
-29992.320000;217.497965
-30022.800000;217.441846
-30053.280000;217.080509
-30083.760000;216.716381
-30114.240000;216.829038
-30144.720000;216.954859
-30175.200000;217.325886
-30205.680000;217.789501
-30236.160000;218.818630
-30266.640000;220.831116
-30297.120000;222.881139
-30327.600000;225.753602
-30358.080000;228.626103
-30388.560000;231.190040
-30419.040000;233.632666
-30449.520000;236.075330
-30480.000000;238.518031
-30510.480000;240.989182
-30540.960000;243.861913
-30571.440000;246.734682
-30601.920000;249.607490
-30632.400000;252.480336
-30662.880000;254.996858
-30693.360000;257.009870
-30723.840000;258.980484
-30754.320000;260.521692
-30784.800000;262.075994
-30815.280000;263.971346
-30845.760000;265.981777
-30876.240000;267.629538
-30906.720000;268.806207
-30937.200000;269.901108
-30967.680000;270.213829
-30998.160000;270.509144
-31028.640000;270.817527
-31059.120000;271.138972
-31089.600000;271.841797
-31120.080000;272.971835
-31150.560000;274.105838
-31181.040000;275.358754
-31211.520000;276.637726
-31242.000000;276.105985
-31272.480000;275.140215
-31302.960000;273.759831
-31333.440000;271.934189
-31363.920000;270.068773
-31394.400000;268.003731
-31424.880000;265.964687
-31455.360000;264.219705
-31485.840000;262.543484
-31516.320000;261.036641
-31546.800000;259.686403
-31577.280000;258.360029
-31607.760000;257.150637
-31638.240000;255.954222
-31668.720000;254.640546
-31699.200000;253.305446
-31729.680000;252.057708
-31760.160000;250.898090
-31790.640000;249.751428
-31821.120000;248.617715
-31851.600000;247.496947
-31882.080000;246.215721
-31912.560000;244.910772
-31943.040000;243.132569
-31973.520000;240.967683
-32004.000000;238.995941
-32034.480000;237.691003
-32064.960000;236.386068
-32095.440000;234.862576
-32125.920000;233.302240
-32156.400000;231.529648
-32186.880000;229.615980
-32217.360000;227.648669
-32247.840000;225.483802
-32278.320000;223.318936
-32308.800000;221.816102
-32339.280000;220.381890
-32369.760000;219.549844
-32400.240000;219.119867
-32430.720000;218.890986
-32461.200000;219.213214
-32491.680000;219.548308
-32522.160000;221.297243
-32552.640000;223.116232
-32583.120000;224.922363
-32613.600000;226.715641
-32644.080000;228.475281
-32674.560000;230.180263
-32705.040000;231.885250
-32735.520000;233.224208
-32766.000000;234.538246
-32796.480000;235.814546
-32826.960000;237.074654
-32857.440000;238.326556
-32887.920000;239.569134
-32918.400000;240.824539
-32948.880000;241.680273
-32979.360000;242.519347
-33009.840000;243.071844
-33040.320000;243.505472
-33070.800000;244.097740
-33101.280000;244.957711
-33131.760000;245.806530
-33162.240000;245.844668
-33192.720000;245.895595
-33223.200000;245.402776
-33253.680000;244.680917
-33284.160000;242.917586
-33314.640000;239.309224
-33345.120000;235.689272
-33375.600000;230.784515
-33406.080000;225.905260
-33436.560000;223.666664
-33467.040000;222.495380
-33497.520000;222.565799
-33528.000000;224.600113
-33558.480000;226.608903
-33588.960000;228.592177
-33619.440000;230.549946
-33649.920000;232.482221
-33680.400000;234.389012
-33710.880000;236.044020
-33741.360000;237.363599
-33771.840000;238.683173
-33802.320000;240.002739
-33832.800000;241.322299
